ID_Operatore,Nome_Operatore,Centro_Di_Lavoro,Macchina_Specifica,Fattore_Efficienza_Storico
OP-01,Mario Rossi,TAGLIO,TAGLIO-01,1.12
OP-01,Mario Rossi,TAGLIO,TAGLIO-02,1.1
OP-01,Mario Rossi,TORNIO,TORNO-01,1.09
OP-01,Mario Rossi,TORNIO,TORNO-02,1.16
OP-01,Mario Rossi,TORNIO,TORNO-03,1.16
OP-01,Mario Rossi,TORNIO,TORNO-04,1.09
OP-01,Mario Rossi,TORNIO,TORNO-05,1.17
OP-01,Mario Rossi,TORNIO,TORNO-06,1.1
OP-01,Mario Rossi,FRESA,FRESA-01,1.1
OP-01,Mario Rossi,FRESA,FRESA-02,1.1
OP-02,Luigi Bianchi,TAGLIO,TAGLIO-01,1.08
OP-02,Luigi Bianchi,TAGLIO,TAGLIO-02,1.1
OP-02,Luigi Bianchi,TORNIO,TORNO-01,1.08
OP-02,Luigi Bianchi,TORNIO,TORNO-02,1.1
OP-02,Luigi Bianchi,TORNIO,TORNO-03,1.1
OP-02,Luigi Bianchi,TORNIO,TORNO-04,1.12
OP-02,Luigi Bianchi,TORNIO,TORNO-05,1.14
OP-02,Luigi Bianchi,TORNIO,TORNO-06,1.11
OP-02,Luigi Bianchi,FRESA,FRESA-01,1.07
OP-02,Luigi Bianchi,FRESA,FRESA-02,1.1
OP-03,Giovanni Verdi,TAGLIO,TAGLIO-01,0.99
OP-03,Giovanni Verdi,TAGLIO,TAGLIO-02,0.96
OP-03,Giovanni Verdi,TORNIO,TORNO-01,1.02
OP-03,Giovanni Verdi,TORNIO,TORNO-02,0.99
OP-03,Giovanni Verdi,TORNIO,TORNO-03,0.99
OP-03,Giovanni Verdi,TORNIO,TORNO-04,1.04
OP-03,Giovanni Verdi,TORNIO,TORNO-05,0.96
OP-03,Giovanni Verdi,TORNIO,TORNO-06,1.02
OP-03,Giovanni Verdi,FRESA,FRESA-01,1.01
OP-03,Giovanni Verdi,FRESA,FRESA-02,0.96
OP-04,Alessandro Neri,TAGLIO,TAGLIO-01,0.97
OP-04,Alessandro Neri,TAGLIO,TAGLIO-02,0.98
OP-04,Alessandro Neri,TORNIO,TORNO-01,0.91
OP-04,Alessandro Neri,TORNIO,TORNO-02,0.92
OP-04,Alessandro Neri,TORNIO,TORNO-03,0.95
OP-04,Alessandro Neri,TORNIO,TORNO-04,0.92
OP-04,Alessandro Neri,TORNIO,TORNO-05,0.92
OP-04,Alessandro Neri,TORNIO,TORNO-06,0.95
OP-04,Alessandro Neri,FRESA,FRESA-01,0.99
OP-04,Alessandro Neri,FRESA,FRESA-02,0.91
OP-05,Marco Gialli,TAGLIO,TAGLIO-01,0.88
OP-05,Marco Gialli,TAGLIO,TAGLIO-02,0.88
OP-05,Marco Gialli,TORNIO,TORNO-01,0.82
OP-05,Marco Gialli,TORNIO,TORNO-02,0.86
OP-05,Marco Gialli,TORNIO,TORNO-03,0.85
OP-05,Marco Gialli,TORNIO,TORNO-04,0.81
OP-05,Marco Gialli,TORNIO,TORNO-05,0.82
OP-05,Marco Gialli,TORNIO,TORNO-06,0.87
OP-05,Marco Gialli,FRESA,FRESA-01,0.83
OP-05,Marco Gialli,FRESA,FRESA-02,0.84
OP-06,Roberto Viola,TAGLIO,TAGLIO-01,1.12
OP-06,Roberto Viola,TAGLIO,TAGLIO-02,1.16
OP-06,Roberto Viola,TORNIO,TORNO-01,1.17
OP-06,Roberto Viola,TORNIO,TORNO-02,1.08
OP-06,Roberto Viola,TORNIO,TORNO-03,1.06
OP-06,Roberto Viola,TORNIO,TORNO-04,1.11
OP-06,Roberto Viola,TORNIO,TORNO-05,1.17
OP-06,Roberto Viola,TORNIO,TORNO-06,1.15
OP-06,Roberto Viola,FRESA,FRESA-01,1.1
OP-06,Roberto Viola,FRESA,FRESA-02,1.14
OP-07,Francesco Rosa,TAGLIO,TAGLIO-01,1.04
OP-07,Francesco Rosa,TAGLIO,TAGLIO-02,1.05
OP-07,Francesco Rosa,TORNIO,TORNO-01,1.04
OP-07,Francesco Rosa,TORNIO,TORNO-02,1.02
OP-07,Francesco Rosa,TORNIO,TORNO-03,0.99
OP-07,Francesco Rosa,TORNIO,TORNO-04,0.99
OP-07,Francesco Rosa,TORNIO,TORNO-05,0.97
OP-07,Francesco Rosa,TORNIO,TORNO-06,1.04
OP-07,Francesco Rosa,FRESA,FRESA-01,0.98
OP-07,Francesco Rosa,FRESA,FRESA-02,1.0
OP-08,Stefano Marroni,TAGLIO,TAGLIO-01,0.86
OP-08,Stefano Marroni,TAGLIO,TAGLIO-02,0.9
OP-08,Stefano Marroni,TORNIO,TORNO-01,0.94
OP-08,Stefano Marroni,TORNIO,TORNO-02,0.9
OP-08,Stefano Marroni,TORNIO,TORNO-03,0.86
OP-08,Stefano Marroni,TORNIO,TORNO-04,0.9
OP-08,Stefano Marroni,TORNIO,TORNO-05,0.93
OP-08,Stefano Marroni,TORNIO,TORNO-06,0.86
OP-08,Stefano Marroni,FRESA,FRESA-01,0.86
OP-08,Stefano Marroni,FRESA,FRESA-02,0.93
